dataset,model,num_parameters,test_acc,test_f1_macro,test_f1_weighted,is_best_f1_macro,source_path
bean_disease_uganda,baseline_cbam,22674405,0.8121827411167513,0.813390874092356,0.8131925586492031,False,runs_bean_baseline/bean_disease_uganda/dino_multiscale/test_metrics.json
bean_disease_uganda,gated_cbam,33295845,0.8984771573604061,0.8991948401929745,0.8989210830365937,True,runs_bean_parallel_test/bean_disease_uganda/dino_multiscale_gated/test_metrics.json
bean_disease_uganda,cross_gated_cbam,23858661,0.8477157360406091,0.8467904168904344,0.8464741707371325,False,runs_bean_cross_gated/bean_disease_uganda/dino_multiscale_cross_gated/test_metrics.json
bean_disease_uganda,parallel,34480101,0.751269035532995,0.7513619223042642,0.7510990406596197,False,runs_bean_parallel_test/bean_disease_uganda/dino_multiscale_parallel/test_metrics.json
blackgram_leaf_disease,baseline_cbam,22675431,0.22435897435897437,0.07329842931937172,0.08222580212109008,False,runs_blackgram_baseline/blackgram_leaf_disease/dino_multiscale/test_metrics.json
blackgram_leaf_disease,parallel,34481127,0.7371794871794872,0.7318539141945533,0.7360310270051602,True,runs_blackgram_parallel/blackgram_leaf_disease/dino_multiscale_parallel/test_metrics.json
corn_maize_leaf_disease,baseline_cbam,22674918,0.9050632911392406,0.8787371062612341,0.9050438830127687,False,runs_dino_multiscale/corn_maize_leaf_disease/dino_multiscale/test_metrics.json
corn_maize_leaf_disease,gated_cbam,33296358,0.9145569620253164,0.8893781257562313,0.9146291872242468,False,runs_dino_multiscale_gated/corn_maize_leaf_disease/dino_multiscale_gated/test_metrics.json
corn_maize_leaf_disease,cross_gated_cbam,23859174,0.9177215189873418,0.8975225612130374,0.9198130574524487,True,runs_dino_multiscale_cross_gated/corn_maize_leaf_disease/dino_multiscale_cross_gated/test_metrics.json
corn_maize_leaf_disease,parallel,34480614,0.9145569620253164,0.8936559185183942,0.9147617683775704,False,runs_dino_multiscale_parallel/corn_maize_leaf_disease/dino_multiscale_parallel/test_metrics.json
