dataset,model,num_parameters,test_acc,test_f1_macro,test_f1_weighted,is_best_f1_macro,source_path
bean_disease_uganda,baseline_cbam,22674405,0.7918781725888325,0.7935795406270355,0.7932685803780489,False,runs_fair_bean_baseline/bean_disease_uganda/dino_multiscale/test_metrics.json
bean_disease_uganda,gated_cbam,33295845,0.8730964467005076,0.8729882783054425,0.8726511937313893,True,runs_fair_bean_gated/bean_disease_uganda/dino_multiscale_gated/test_metrics.json
bean_disease_uganda,cross_gated_cbam,23858661,0.8071065989847716,0.8047107779568748,0.8043402852473838,False,runs_fair_bean_cross_gated/bean_disease_uganda/dino_multiscale_cross_gated/test_metrics.json
bean_disease_uganda,parallel,34480101,0.7461928934010152,0.7472186472186472,0.7469507215700109,False,runs_fair_bean_parallel/bean_disease_uganda/dino_multiscale_parallel/test_metrics.json
blackgram_leaf_disease,baseline_cbam,22675431,0.22435897435897437,0.07329842931937172,0.08222580212109008,False,runs_blackgram_baseline/blackgram_leaf_disease/dino_multiscale/test_metrics.json
blackgram_leaf_disease,gated_cbam,33296871,0.40384615384615385,0.3970363301048504,0.39905194110755177,False,runs_blackgram_gated/blackgram_leaf_disease/dino_multiscale_gated/test_metrics.json
blackgram_leaf_disease,cross_gated_cbam,23859687,0.46153846153846156,0.44615643719453313,0.4551463385613448,False,runs_blackgram_cross_gated/blackgram_leaf_disease/dino_multiscale_cross_gated/test_metrics.json
blackgram_leaf_disease,parallel,34481127,0.7371794871794872,0.7318539141945533,0.7360310270051602,True,runs_blackgram_parallel/blackgram_leaf_disease/dino_multiscale_parallel/test_metrics.json
corn_maize_leaf_disease,baseline_cbam,22674918,0.9208860759493671,0.9035871648383424,0.9200049960460636,True,runs_fair_corn_baseline/corn_maize_leaf_disease/dino_multiscale/test_metrics.json
corn_maize_leaf_disease,gated_cbam,33296358,0.9145569620253164,0.8893781257562313,0.9146291872242468,False,runs_dino_multiscale_gated/corn_maize_leaf_disease/dino_multiscale_gated/test_metrics.json
corn_maize_leaf_disease,cross_gated_cbam,23859174,0.9098101265822784,0.8859188461783625,0.909601421751191,False,runs_fair_corn_cross_gated/corn_maize_leaf_disease/dino_multiscale_cross_gated/test_metrics.json
corn_maize_leaf_disease,parallel,34480614,0.9177215189873418,0.8952785343447305,0.9185587315626016,False,runs_fair_corn_parallel/corn_maize_leaf_disease/dino_multiscale_parallel/test_metrics.json
